comentario,usuario,fecha,likes,video_id
😂 la betsy ledio agua de calzon 😂😂 para emborracharlo de poder te metiste la soga al cuello betsy te dio la soga y el caníbal de ahorcó 😂😂😂😂ajajajajajajaj,@gilmarsuclupe5376,2025-03-22T17:46:30Z,1,lfG8PiImmsM
No sabe ni leer este troglodita!!,@ahmedloochkart2633,2025-03-21T11:56:56Z,2,lfG8PiImmsM
Me recomendó hoy Youtube pq sera,@tonyblazedeconoeste.444,2025-03-21T01:24:54Z,1,lfG8PiImmsM
Gracias burro y Gracias Dios,@brunozapata5902,2025-03-20T23:47:31Z,2,lfG8PiImmsM
Esté sr no es dictador viva Pedro castillo presidente de Perú,@JulioCesarFernandez-pg1jd,2025-03-20T20:05:52Z,0,lfG8PiImmsM
Por dentro decía la cge voy a terminar de cla,@CruverAlejandroMelgarejo,2025-03-18T22:41:13Z,1,lfG8PiImmsM
5:30 que tiene que ver la guerra d Rusia y Ucrania animal,@stevbc,2025-03-18T20:50:19Z,2,lfG8PiImmsM
Sabía muy bien que estaba cometiendo golpe de Estado y se k aba de miedo. Prueba de ello es que salió corriendo de Palacio con su tenebrosa familia mafiosa en dirección a la Embajada de México en plan de fuga...,@Ruben-y7y,2025-03-17T01:10:29Z,1,lfG8PiImmsM
Les queda alguna duda de que no fue golpe de estado?,@manuelsantosponcepolanco5796,2025-03-16T16:52:05Z,2,lfG8PiImmsM
6:32 AQUI EMPIEZA el Anuncio del GOLPE,@P.E.R.U.,2025-03-16T04:14:32Z,2,lfG8PiImmsM
1:19 PERO TU NO ERES un CAMPESINO!!!!!!! Deja de Mentir y Víctimizarte!!!!! Tienes una Profesión eres MAESTRO no eres un Campesino asi que deja de Intentar Dar Lastima !!!,@P.E.R.U.,2025-03-16T04:12:14Z,2,lfG8PiImmsM
Si comias rico dormías bien.  Pero te juntas te con puro ratero,@VictorAcevedo-c3h,2025-03-15T16:50:05Z,1,lfG8PiImmsM
AHORA DILO SIN LLORAR,@boristorbiscoalarcon7592,2025-03-15T08:11:53Z,1,lfG8PiImmsM
Tiembla tuco tiembla 5:35,@elconservador5455,2025-03-14T19:20:01Z,5,lfG8PiImmsM
Estaba fugándose el tío castillo🤣🤣🤣,@GilbertLaura,2025-03-14T18:23:39Z,1,lfG8PiImmsM
A quien le da ganas de vomitar al ver y escuchar a este tipejo?,@martinherrera4241,2025-03-14T02:09:24Z,4,lfG8PiImmsM
Ni Los ronderos le hicieron caso,@martinherrera4241,2025-03-14T02:07:28Z,1,lfG8PiImmsM
Nunca olviden que este tipejo quiso hacer del Peru otra Venezuela,@martinherrera4241,2025-03-14T02:05:10Z,3,lfG8PiImmsM
Nunca olviden que este tipejo quiso hacer del Peru otra Venezuela,@martinherrera4241,2025-03-14T01:59:33Z,17,lfG8PiImmsM
Gracias Pedrito ahora te vas a CANADÁ FOREVER,@Franco-u1r,2025-03-12T20:12:41Z,3,lfG8PiImmsM
"*Cuando dice que ""ya está comunicando a la OEA"" y hace referencia al artículo 27 donde se comunica la suspensión de derechos humanos por motivos como este ya está diciendo que está ejecutando en ese momento el golpe de Estado y no es ninguna proclama Castillo ya estaba comunicándose con organismos internacionales para justificar la suspensión de derechos humanos este asno se merece la pena máxima por tamaño atrevimiento.*",@perry521,2025-03-12T14:19:23Z,3,lfG8PiImmsM
"*Estamos mil veces mejor sin ti ""burro"".*",@perry521,2025-03-12T14:01:37Z,1,lfG8PiImmsM
Y eso fue tu caída por qué?....,@soundwave9629,2025-03-12T01:51:29Z,0,lfG8PiImmsM
Jajajaja no se vomo llamarlo sin insultarlo es un hombre patético infeliz entonces que fue lo que escuchamos di es un golpe solo ni en eso se dió cuenta el pueblo apoya cuando es un buen presidente quien lo iba apoyar ni antauro quizo jajajaja,@Casilda-wm9gy,2025-03-11T22:42:37Z,1,lfG8PiImmsM
Si todos los que comentaron mal estarian ahi tambien serian los burros como a si lo mencionan en los comentarios,@Bautistas979,2025-03-11T18:25:29Z,0,lfG8PiImmsM
Sólito caíste en tu propia trampa.. Igual que juego de tronos te traicionaron tus abanderados,@JoseTorres-jv7dy,2025-03-11T17:21:13Z,1,lfG8PiImmsM
"Un ""presidente"" leyendo algo que ni el mismo entiende"" jajajaja",@robertoparraga8710,2025-03-07T17:38:08Z,8,lfG8PiImmsM
Yo pienso que fue valiente pese a que no tenia apoyo de las fuerzas armadas que quisas ya estaban compradas por.los opositores el congreso queria darle vacancia 1 2  varias veces porque??? Ahora esta en la carcel segkn el plan condor del siglo 20 matarlo judicialmente,@JuanColque-j5n,2025-03-07T13:04:57Z,0,lfG8PiImmsM
Estaba nervioso xq no sabia leer,@aldoachong4068,2025-03-06T17:12:48Z,1,lfG8PiImmsM
No olvide ningún peruano de este tipo de gente que quiso oprimir a un pueblo quitabto la libre expresión  y el cambio de constitución  a su antojo. Su victimización es su estilo para que el pueblo no informado hace  lo que el comunista capturaba los sectores más vulnerables de la población en Perú,@leonardaturpoquispe5506,2025-03-06T16:36:34Z,1,lfG8PiImmsM
Lamentable lo que este señor menciona fue un títere de las personas que todos ya conocen.,@jhongonzales5065,2025-03-05T14:56:46Z,1,lfG8PiImmsM
Sonaja de BB,@libra81mm42,2025-02-13T06:20:32Z,0,lfG8PiImmsM
El presidente más animal que tuvo el pueblo Peruano y sin ofender a los pobres animalitos una vergüenza 😂😂😂,@Animeshom,2025-02-12T16:59:50Z,1,lfG8PiImmsM
"ESTE ES OTRO TITERE DE LAS GRANDES Y MONSTRUOSA CASTAS SOCIALES QUE MANEJAN EL MUNDO..
POR ESO LEE LO QUE LE ENVIARON A LEER PARA GENTE Q NI SIQUIERA SE DA CUENTA ... Q SOLO SOLO SON  GOBERNADO POR PERSONAS QUE SOLO DICEN LO Q SE LES MANDA ...Y SIN SALIR DE LOS MARCOS...
UD PIENZAN Q ESTE TIPO MAS IDENTIFICADO CON LOS DE MENTE POBRE...E INCAPAZ DE SER UN PROFESIONAL QUE  PUEDE GOBERNAR UN PAIS QUE TIENE TANTAS RESPONSABILIDADES  ???
LO QUE YO VEO ES SOLO UN TIPO IGNORANTE PUESTO POR LA ELITE...   PARA Q CUMPLA SUS FUNCIONES...   DE DOMINIO...  POR UNOS MILES DE DOLARES...  MIENTRAS LA ELITE .. SAQUEA PERU  Y OTROS PAISES...",@adriangutierrez7271,2025-02-10T12:46:12Z,0,lfG8PiImmsM
Ver. A. Este. Personal. Ya.  Da. Asco. Ya. Pues. Preso. Esta. Y. Punto,@ReneRuttiPerez,2025-02-03T23:36:19Z,1,lfG8PiImmsM
YA PASARON 2 AÑOS DE ESTE MOMENTO Y PARTE DE LO QUE DIJO ES SU DISCURSO DE LOS CONGRESISTAS ES CIERTO XD,@YersonDominguez545,2025-01-25T22:55:05Z,0,lfG8PiImmsM
Una oveja bruta que se creyo un lobo.,@anthonybryanlopezespinoza84,2025-01-25T18:43:55Z,2,lfG8PiImmsM
Lo votaron por incompetente. 😂😂😂,@AlfaOmega56153,2025-01-21T20:19:29Z,2,lfG8PiImmsM
Semejante Jeropa castillo como le tiembla la mano.,@kunnitoBikers,2025-01-01T02:16:26Z,2,lfG8PiImmsM
